fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
decision,depth_first_search,FALSE,987913,769660,0,0,0,999999,999999,0,0,141,0.351620948
decision,detect_cycle,FALSE,122450,560355,0,0,0,999999,999999,0,0,97,0.241895262
decision,detect_cycle,FALSE,29837,35985,0,0,0,999999,999999,0,0,114,0.284289277
decision,detect_cycle,FALSE,317285,711160,0,0,0,999999,999999,0,0,103,0.256857855
decision,detect_cycle,FALSE,422674,370707,0,0,0,999999,999999,0,0,102,0.25436409
decision,detect_cycle,FALSE,430238,444726,0,0,0,999999,999999,0,0,97,0.241895262
decision,detect_cycle,FALSE,436303,790251,0,0,0,999999,999999,0,0,110,0.274314214
decision,detect_cycle,FALSE,437537,573746,0,0,0,999999,999999,0,0,101,0.251870324
decision,detect_cycle,FALSE,515124,413455,0,0,0,999999,999999,0,0,106,0.264339152
decision,detect_cycle,FALSE,551177,994054,0,0,0,999999,999999,0,0,105,0.261845387
decision,detect_cycle,FALSE,570089,418503,0,0,0,999999,999999,0,0,95,0.236907731
decision,detect_cycle,FALSE,596446,491458,0,0,0,999999,999999,0,0,101,0.251870324
decision,detect_cycle,FALSE,597967,787781,0,0,0,999999,999999,0,0,108,0.269326683
decision,detect_cycle,FALSE,700738,808270,48,36,36,81,2,48,0.119700748,58,0.144638404
decision,detect_cycle,FALSE,73568,829582,0,0,0,999999,999999,0,0,101,0.251870324
decision,detect_cycle,FALSE,7402,641177,0,0,0,999999,999999,0,0,105,0.261845387
decision,detect_cycle,FALSE,786387,834015,0,0,0,999999,999999,0,0,103,0.256857855
decision,detect_cycle,FALSE,844710,905541,0,0,0,999999,999999,0,0,104,0.259351621
decision,detect_cycle,FALSE,884245,406814,0,0,0,999999,999999,0,0,100,0.249376559
decision,detect_cycle,FALSE,931060,152905,0,0,0,999999,999999,0,0,86,0.21446384
decision,detect_cycle,FALSE,9525,455812,0,0,0,999999,999999,0,0,83,0.206982544
decision,find_in_sorted,FALSE,112848,229099,0,0,0,999999,999999,125,0.155860349,144,0.179551122
decision,find_in_sorted,FALSE,230001,53907,0,0,0,999999,999999,58,0.072319202,174,0.216957606
decision,find_in_sorted,FALSE,231728,985728,0,0,0,999999,999999,152,0.189526185,166,0.206982544
decision,find_in_sorted,FALSE,243200,46066,0,0,0,999999,999999,107,0.133416459,153,0.190773067
decision,find_in_sorted,FALSE,247062,231237,0,0,0,999999,999999,8,0.009975062,173,0.215710723
decision,find_in_sorted,FALSE,249300,445310,0,0,0,999999,999999,136,0.16957606,156,0.194513716
decision,find_in_sorted,FALSE,388777,996952,0,0,0,999999,999999,57,0.071072319,173,0.215710723
decision,find_in_sorted,FALSE,433488,968739,0,0,0,999999,999999,137,0.170822943,147,0.183291771
decision,find_in_sorted,FALSE,54076,564109,0,0,0,999999,999999,89,0.110972569,171,0.213216958
decision,find_in_sorted,FALSE,555887,578157,0,0,0,999999,999999,124,0.154613466,143,0.178304239
decision,find_in_sorted,FALSE,605486,48466,0,0,0,999999,999999,116,0.144638404,165,0.205735661
decision,find_in_sorted,FALSE,629225,5894,0,0,0,999999,999999,115,0.143391521,161,0.20074813
decision,find_in_sorted,FALSE,68566,297478,0,0,0,999999,999999,75,0.093516209,147,0.183291771
decision,find_in_sorted,FALSE,70535,355374,0,0,0,999999,999999,134,0.167082294,171,0.213216958
decision,find_in_sorted,FALSE,726056,647502,0,0,0,999999,999999,94,0.117206983,167,0.208229426
decision,find_in_sorted,FALSE,7450,74090,0,0,0,999999,999999,123,0.153366584,142,0.177057357
decision,find_in_sorted,FALSE,829772,560807,0,0,0,999999,999999,74,0.092269327,178,0.221945137
decision,find_in_sorted,FALSE,87714,643117,0,0,0,999999,999999,114,0.142144638,172,0.21446384
decision,find_in_sorted,FALSE,927879,882775,0,0,0,999999,999999,128,0.159600998,159,0.198254364
decision,find_in_sorted,FALSE,989224,692081,0,0,0,999999,999999,120,0.149625935,144,0.179551122
decision,get_factors,FALSE,115179,255105,65,63,0,177,5,173,0.431421446,62,0.154613466
decision,get_factors,FALSE,119447,770283,140,140,0,9,2,179,0.44638404,64,0.159600998
decision,get_factors,FALSE,154704,699884,0,0,0,999999,999999,107,0.266832918,72,0.179551122
decision,get_factors,FALSE,270125,568556,25,25,0,184,6,132,0.329177057,70,0.174563591
